Recency,Frequency,Monetary,Time,Class,Recency_bin,TotalDonationValue,DonationRate,Monetary_log
2,50,12500,99,1,0,625000,0.5,9.433563920090563
0,13,3250,28,1,0,42250,0.4482758620689655,8.086717920303906
1,17,4000,36,1,0,68000,0.4594594594594595,8.294299608857235
2,20,5000,45,1,0,100000,0.43478260869565216,8.517393171418904
1,24,6000,77,0,0,144000,0.3076923076923077,8.699681400989514
4,4,1000,4,0,0,4000,0.8,6.90875477931522
2,7,1750,14,1,0,12250,0.4666666666666667,7.467942332285852
1,12,3000,35,0,0,36000,0.3333333333333333,8.006700845440367
2,9,2250,22,1,0,20250,0.391304347826087,7.719129840906732
5,46,11500,98,1,0,529000,0.46464646464646464,9.350189267092581
4,23,5750,58,0,0,132250,0.3898305084745763,8.657129031713755
0,3,750,4,0,0,2250,0.6,6.621405651764134
2,10,2500,28,1,0,25000,0.3448275862068966,7.824445930877619
1,13,3250,47,0,0,42250,0.2708333333333333,8.086717920303906
2,6,1500,15,1,0,9000,0.375,7.313886831633462
2,5,1250,11,1,0,6250,0.4166666666666667,7.1316985104669115
2,14,3500,48,1,0,49000,0.2857142857142857,8.160803920954665
2,15,3750,49,1,0,56250,0.3,8.229777750081887
2,6,1500,15,1,0,9000,0.375,7.313886831633462
2,3,750,4,1,0,2250,0.6,6.621405651764134
2,3,750,4,1,0,2250,0.6,6.621405651764134
4,11,2750,28,0,0,30250,0.3793103448275862,7.919719760924575
2,6,1500,16,1,0,9000,0.35294117647058826,7.313886831633462
2,6,1500,16,1,0,9000,0.35294117647058826,7.313886831633462
9,9,2250,16,0,0,20250,0.5294117647058824,7.719129840906732
4,14,3500,40,0,0,49000,0.34146341463414637,8.160803920954665
4,6,1500,14,0,0,9000,0.4,7.313886831633462
4,12,3000,34,1,0,36000,0.34285714285714286,8.006700845440367
4,5,1250,11,1,0,6250,0.4166666666666667,7.1316985104669115
4,8,2000,21,0,0,16000,0.36363636363636365,7.601402334583733
1,14,3500,58,0,0,49000,0.23728813559322035,8.160803920954665
4,10,2500,28,1,0,25000,0.3448275862068966,7.824445930877619
4,10,2500,28,1,0,25000,0.3448275862068966,7.824445930877619
4,9,2250,26,1,0,20250,0.3333333333333333,7.719129840906732
2,16,4000,64,0,0,64000,0.24615384615384617,8.294299608857235
2,8,2000,28,1,0,16000,0.27586206896551724,7.601402334583733
2,12,3000,47,1,0,36000,0.25,8.006700845440367
4,6,1500,16,1,0,9000,0.35294117647058826,7.313886831633462
2,14,3500,57,1,0,49000,0.2413793103448276,8.160803920954665
4,7,1750,22,1,0,12250,0.30434782608695654,7.467942332285852
2,13,3250,53,1,0,42250,0.24074074074074073,8.086717920303906
2,5,1250,16,0,0,6250,0.29411764705882354,7.1316985104669115
2,5,1250,16,1,0,6250,0.29411764705882354,7.1316985104669115
2,5,1250,16,0,0,6250,0.29411764705882354,7.1316985104669115
4,20,5000,69,1,0,100000,0.2857142857142857,8.517393171418904
4,9,2250,28,1,0,20250,0.3103448275862069,7.719129840906732
2,9,2250,36,0,0,20250,0.24324324324324326,7.719129840906732
2,2,500,2,0,0,1000,0.6666666666666666,6.2166061010848646
2,2,500,2,0,0,1000,0.6666666666666666,6.2166061010848646
2,2,500,2,0,0,1000,0.6666666666666666,6.2166061010848646
2,11,2750,46,0,0,30250,0.23404255319148937,7.919719760924575
2,11,2750,46,1,0,30250,0.23404255319148937,7.919719760924575
2,6,1500,22,0,0,9000,0.2608695652173913,7.313886831633462
2,12,3000,52,0,0,36000,0.22641509433962265,8.006700845440367
4,5,1250,14,1,0,6250,0.3333333333333333,7.1316985104669115
4,19,4750,69,1,0,90250,0.2714285714285714,8.46611040118692
4,8,2000,26,1,0,16000,0.2962962962962963,7.601402334583733
2,7,1750,28,1,0,12250,0.2413793103448276,7.467942332285852
2,16,4000,81,0,0,64000,0.1951219512195122,8.294299608857235
3,6,1500,21,0,0,9000,0.2727272727272727,7.313886831633462
2,7,1750,29,0,0,12250,0.23333333333333334,7.467942332285852
2,8,2000,35,1,0,16000,0.2222222222222222,7.601402334583733
2,10,2500,49,0,0,25000,0.2,7.824445930877619
4,5,1250,16,1,0,6250,0.29411764705882354,7.1316985104669115
2,3,750,9,1,0,2250,0.3,6.621405651764134
3,16,4000,74,0,0,64000,0.21333333333333335,8.294299608857235
2,4,1000,14,1,0,4000,0.26666666666666666,6.90875477931522
0,2,500,4,0,0,1000,0.4,6.2166061010848646
4,7,1750,25,0,0,12250,0.2692307692307692,7.467942332285852
1,9,2250,51,0,0,20250,0.17307692307692307,7.719129840906732
2,4,1000,16,0,0,4000,0.23529411764705882,6.90875477931522
2,4,1000,16,0,0,4000,0.23529411764705882,6.90875477931522
4,17,4250,71,1,0,72250,0.2361111111111111,8.35490952835879
2,2,500,4,0,0,1000,0.4,6.2166061010848646
2,2,500,4,1,0,1000,0.4,6.2166061010848646
2,2,500,4,1,0,1000,0.4,6.2166061010848646
2,4,1000,16,1,0,4000,0.23529411764705882,6.90875477931522
2,2,500,4,0,0,1000,0.4,6.2166061010848646
2,2,500,4,0,0,1000,0.4,6.2166061010848646
2,2,500,4,0,0,1000,0.4,6.2166061010848646
4,6,1500,23,1,0,9000,0.25,7.313886831633462
2,4,1000,16,0,0,4000,0.23529411764705882,6.90875477931522
2,4,1000,16,0,0,4000,0.23529411764705882,6.90875477931522
2,4,1000,16,0,0,4000,0.23529411764705882,6.90875477931522
2,6,1500,28,1,0,9000,0.20689655172413793,7.313886831633462
2,6,1500,28,0,0,9000,0.20689655172413793,7.313886831633462
4,2,500,4,0,0,1000,0.4,6.2166061010848646
4,2,500,4,0,0,1000,0.4,6.2166061010848646
4,2,500,4,0,0,1000,0.4,6.2166061010848646
2,7,1750,35,1,0,12250,0.19444444444444445,7.467942332285852
4,2,500,4,1,0,1000,0.4,6.2166061010848646
4,2,500,4,0,0,1000,0.4,6.2166061010848646
4,2,500,4,0,0,1000,0.4,6.2166061010848646
4,2,500,4,0,0,1000,0.4,6.2166061010848646
12,11,2750,23,0,0,30250,0.4583333333333333,7.919719760924575
4,7,1750,28,0,0,12250,0.2413793103448276,7.467942332285852
3,17,4250,86,0,0,72250,0.19540229885057472,8.35490952835879
4,9,2250,38,1,0,20250,0.23076923076923078,7.719129840906732
4,4,1000,14,1,0,4000,0.26666666666666666,6.90875477931522
5,7,1750,26,1,0,12250,0.25925925925925924,7.467942332285852
4,8,2000,34,1,0,16000,0.22857142857142856,7.601402334583733
2,13,3250,76,1,0,42250,0.16883116883116883,8.086717920303906
4,9,2250,40,0,0,20250,0.21951219512195122,7.719129840906732
2,5,1250,26,0,0,6250,0.18518518518518517,7.1316985104669115
2,5,1250,26,0,0,6250,0.18518518518518517,7.1316985104669115
6,17,4250,70,0,0,72250,0.23943661971830985,8.35490952835879
0,8,2000,59,0,0,16000,0.13333333333333333,7.601402334583733
3,5,1250,26,0,0,6250,0.18518518518518517,7.1316985104669115
2,3,750,14,0,0,2250,0.2,6.621405651764134
2,10,2500,64,0,0,25000,0.15384615384615385,7.824445930877619
4,5,1250,23,1,0,6250,0.20833333333333334,7.1316985104669115
4,9,2250,46,0,0,20250,0.19148936170212766,7.719129840906732
4,5,1250,23,0,0,6250,0.20833333333333334,7.1316985104669115
4,8,2000,40,1,0,16000,0.1951219512195122,7.601402334583733
2,12,3000,82,0,0,36000,0.14457831325301204,8.006700845440367
11,24,6000,64,0,0,144000,0.36923076923076925,8.699681400989514
2,7,1750,46,1,0,12250,0.14893617021276595,7.467942332285852
4,11,2750,61,0,0,30250,0.1774193548387097,7.919719760924575
1,7,1750,57,0,0,12250,0.1206896551724138,7.467942332285852
2,11,2750,79,1,0,30250,0.1375,7.919719760924575
2,3,750,16,1,0,2250,0.17647058823529413,6.621405651764134
4,5,1250,26,1,0,6250,0.18518518518518517,7.1316985104669115
2,6,1500,41,1,0,9000,0.14285714285714285,7.313886831633462
2,5,1250,33,1,0,6250,0.14705882352941177,7.1316985104669115
2,4,1000,26,0,0,4000,0.14814814814814814,6.90875477931522
2,5,1250,34,0,0,6250,0.14285714285714285,7.1316985104669115
4,8,2000,46,1,0,16000,0.1702127659574468,7.601402334583733
2,4,1000,26,0,0,4000,0.14814814814814814,6.90875477931522
4,8,2000,48,1,0,16000,0.16326530612244897,7.601402334583733
2,2,500,10,1,0,1000,0.18181818181818182,6.2166061010848646
4,5,1250,28,0,0,6250,0.1724137931034483,7.1316985104669115
2,12,3000,95,0,0,36000,0.125,8.006700845440367
2,2,500,10,0,0,1000,0.18181818181818182,6.2166061010848646
4,6,1500,35,0,0,9000,0.16666666666666666,7.313886831633462
2,11,2750,88,0,0,30250,0.12359550561797752,7.919719760924575
2,3,750,19,0,0,2250,0.15,6.621405651764134
2,5,1250,37,0,0,6250,0.13157894736842105,7.1316985104669115
2,12,3000,98,0,0,36000,0.12121212121212122,8.006700845440367
9,5,1250,19,0,0,6250,0.25,7.1316985104669115
2,2,500,11,0,0,1000,0.16666666666666666,6.2166061010848646
2,9,2250,74,0,0,20250,0.12,7.719129840906732
5,14,3500,86,0,0,49000,0.16091954022988506,8.160803920954665
4,3,750,16,0,0,2250,0.17647058823529413,6.621405651764134
4,3,750,16,0,0,2250,0.17647058823529413,6.621405651764134
4,2,500,9,1,0,1000,0.2,6.2166061010848646
4,3,750,16,1,0,2250,0.17647058823529413,6.621405651764134
6,3,750,14,0,0,2250,0.2,6.621405651764134
2,2,500,11,0,0,1000,0.16666666666666666,6.2166061010848646
2,2,500,11,1,0,1000,0.16666666666666666,6.2166061010848646
2,2,500,11,0,0,1000,0.16666666666666666,6.2166061010848646
2,7,1750,58,1,0,12250,0.11864406779661017,7.467942332285852
4,6,1500,39,0,0,9000,0.15,7.313886831633462
4,11,2750,78,0,0,30250,0.13924050632911392,7.919719760924575
2,1,250,2,1,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,1,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,1,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,1,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
2,1,250,2,0,0,250,0.3333333333333333,5.5254529391317835
11,10,2500,35,0,0,25000,0.2777777777777778,7.824445930877619
11,4,1000,16,1,0,4000,0.23529411764705882,6.90875477931522
4,5,1250,33,1,0,6250,0.14705882352941177,7.1316985104669115
4,6,1500,41,1,0,9000,0.14285714285714285,7.313886831633462
2,3,750,22,0,0,2250,0.13043478260869565,6.621405651764134
4,4,1000,26,1,0,4000,0.14814814814814814,6.90875477931522
10,4,1000,16,0,0,4000,0.23529411764705882,6.90875477931522
2,4,1000,35,0,0,4000,0.1111111111111111,6.90875477931522
4,12,3000,88,0,0,36000,0.1348314606741573,8.006700845440367
13,8,2000,26,0,0,16000,0.2962962962962963,7.601402334583733
11,9,2250,33,0,0,20250,0.2647058823529412,7.719129840906732
4,5,1250,34,0,0,6250,0.14285714285714285,7.1316985104669115
4,4,1000,26,0,0,4000,0.14814814814814814,6.90875477931522
8,15,3750,77,0,0,56250,0.19230769230769232,8.229777750081887
4,5,1250,35,1,0,6250,0.1388888888888889,7.1316985104669115
4,7,1750,52,0,0,12250,0.1320754716981132,7.467942332285852
4,7,1750,52,0,0,12250,0.1320754716981132,7.467942332285852
2,4,1000,35,0,0,4000,0.1111111111111111,6.90875477931522
11,11,2750,42,0,0,30250,0.2558139534883721,7.919719760924575
2,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
2,5,1250,47,1,0,6250,0.10416666666666667,7.1316985104669115
9,8,2000,38,1,0,16000,0.20512820512820512,7.601402334583733
4,6,1500,47,0,0,9000,0.125,7.313886831633462
11,7,1750,29,0,0,12250,0.23333333333333334,7.467942332285852
9,9,2250,45,0,0,20250,0.1956521739130435,7.719129840906732
4,6,1500,52,0,0,9000,0.11320754716981132,7.313886831633462
4,7,1750,58,0,0,12250,0.11864406779661017,7.467942332285852
6,2,500,11,1,0,1000,0.16666666666666666,6.2166061010848646
4,7,1750,58,0,0,12250,0.11864406779661017,7.467942332285852
11,9,2250,38,0,0,20250,0.23076923076923078,7.719129840906732
11,6,1500,26,0,0,9000,0.2222222222222222,7.313886831633462
2,2,500,16,0,0,1000,0.11764705882352941,6.2166061010848646
2,7,1750,76,0,0,12250,0.09090909090909091,7.467942332285852
11,6,1500,27,0,0,9000,0.21428571428571427,7.313886831633462
11,3,750,14,0,0,2250,0.2,6.621405651764134
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,1,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,1,0,250,0.2,5.5254529391317835
4,1,250,4,1,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,1,0,250,0.2,5.5254529391317835
4,1,250,4,1,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,3,750,24,0,0,2250,0.12,6.621405651764134
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
4,1,250,4,1,0,250,0.2,5.5254529391317835
4,1,250,4,0,0,250,0.2,5.5254529391317835
10,8,2000,39,0,0,16000,0.2,7.601402334583733
14,7,1750,26,0,0,12250,0.25925925925925924,7.467942332285852
8,10,2500,63,0,0,25000,0.15625,7.824445930877619
11,3,750,15,0,0,2250,0.1875,6.621405651764134
4,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
2,4,1000,43,0,0,4000,0.09090909090909091,6.90875477931522
8,9,2250,58,0,0,20250,0.15254237288135594,7.719129840906732
8,8,2000,52,1,0,16000,0.1509433962264151,7.601402334583733
11,22,5500,98,0,0,121000,0.2222222222222222,8.612685172875459
4,3,750,25,1,0,2250,0.11538461538461539,6.621405651764134
11,17,4250,79,1,0,72250,0.2125,8.35490952835879
9,2,500,11,0,0,1000,0.16666666666666666,6.2166061010848646
4,5,1250,46,0,0,6250,0.10638297872340426,7.1316985104669115
11,12,3000,58,0,0,36000,0.2033898305084746,8.006700845440367
7,12,3000,86,0,0,36000,0.13793103448275862,8.006700845440367
11,2,500,11,0,0,1000,0.16666666666666666,6.2166061010848646
11,2,500,11,0,0,1000,0.16666666666666666,6.2166061010848646
11,2,500,11,0,0,1000,0.16666666666666666,6.2166061010848646
2,6,1500,75,0,0,9000,0.07894736842105263,7.313886831633462
11,8,2000,41,1,0,16000,0.19047619047619047,7.601402334583733
11,3,750,16,1,0,2250,0.17647058823529413,6.621405651764134
12,13,3250,59,0,0,42250,0.21666666666666667,8.086717920303906
2,3,750,35,0,0,2250,0.08333333333333333,6.621405651764134
16,8,2000,28,0,1,16000,0.27586206896551724,7.601402334583733
11,7,1750,37,0,0,12250,0.18421052631578946,7.467942332285852
4,3,750,28,0,0,2250,0.10344827586206896,6.621405651764134
12,12,3000,58,0,0,36000,0.2033898305084746,8.006700845440367
4,4,1000,41,0,0,4000,0.09523809523809523,6.90875477931522
11,14,3500,73,1,0,49000,0.1891891891891892,8.160803920954665
2,2,500,23,0,0,1000,0.08333333333333333,6.2166061010848646
2,3,750,38,1,0,2250,0.07692307692307693,6.621405651764134
4,5,1250,58,0,0,6250,0.0847457627118644,7.1316985104669115
4,4,1000,43,1,0,4000,0.09090909090909091,6.90875477931522
3,2,500,23,0,0,1000,0.08333333333333333,6.2166061010848646
11,8,2000,46,0,0,16000,0.1702127659574468,7.601402334583733
4,7,1750,82,0,0,12250,0.08433734939759036,7.467942332285852
13,4,1000,21,0,0,4000,0.18181818181818182,6.90875477931522
16,11,2750,40,0,1,30250,0.2682926829268293,7.919719760924575
16,7,1750,28,0,1,12250,0.2413793103448276,7.467942332285852
7,2,500,16,0,0,1000,0.11764705882352941,6.2166061010848646
4,5,1250,58,0,0,6250,0.0847457627118644,7.1316985104669115
4,5,1250,58,0,0,6250,0.0847457627118644,7.1316985104669115
4,4,1000,46,0,0,4000,0.0851063829787234,6.90875477931522
14,13,3250,57,0,0,42250,0.22413793103448276,8.086717920303906
4,3,750,34,0,0,2250,0.08571428571428572,6.621405651764134
14,18,4500,78,0,0,81000,0.22784810126582278,8.412054873292933
11,8,2000,48,0,0,16000,0.16326530612244897,7.601402334583733
14,16,4000,70,0,0,64000,0.22535211267605634,8.294299608857235
14,4,1000,22,1,0,4000,0.17391304347826086,6.90875477931522
14,5,1250,26,0,0,6250,0.18518518518518517,7.1316985104669115
8,2,500,16,0,0,1000,0.11764705882352941,6.2166061010848646
11,5,1250,33,0,0,6250,0.14705882352941177,7.1316985104669115
11,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
4,2,500,23,0,0,1000,0.08333333333333333,6.2166061010848646
9,2,500,16,1,0,1000,0.11764705882352941,6.2166061010848646
14,5,1250,28,1,0,6250,0.1724137931034483,7.1316985104669115
14,3,750,19,1,0,2250,0.15,6.621405651764134
14,4,1000,23,1,0,4000,0.16666666666666666,6.90875477931522
16,12,3000,50,0,1,36000,0.23529411764705882,8.006700845440367
11,4,1000,28,0,0,4000,0.13793103448275862,6.90875477931522
11,5,1250,35,0,0,6250,0.1388888888888889,7.1316985104669115
11,5,1250,35,0,0,6250,0.1388888888888889,7.1316985104669115
2,4,1000,70,0,0,4000,0.056338028169014086,6.90875477931522
14,5,1250,28,0,0,6250,0.1724137931034483,7.1316985104669115
14,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
14,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
14,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
14,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
14,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
14,2,500,14,0,0,1000,0.13333333333333333,6.2166061010848646
2,3,750,52,0,0,2250,0.05660377358490566,6.621405651764134
14,6,1500,34,0,0,9000,0.17142857142857143,7.313886831633462
11,5,1250,37,1,0,6250,0.13157894736842105,7.1316985104669115
4,5,1250,74,0,0,6250,0.06666666666666667,7.1316985104669115
11,3,750,23,0,0,2250,0.125,6.621405651764134
16,4,1000,23,0,1,4000,0.16666666666666666,6.90875477931522
16,3,750,19,0,1,2250,0.15,6.621405651764134
11,5,1250,38,0,0,6250,0.1282051282051282,7.1316985104669115
11,2,500,16,0,0,1000,0.11764705882352941,6.2166061010848646
12,9,2250,60,0,0,20250,0.14754098360655737,7.719129840906732
9,1,250,9,0,0,250,0.1,5.5254529391317835
9,1,250,9,0,0,250,0.1,5.5254529391317835
4,2,500,29,0,0,1000,0.06666666666666667,6.2166061010848646
11,2,500,17,0,0,1000,0.1111111111111111,6.2166061010848646
14,4,1000,26,0,0,4000,0.14814814814814814,6.90875477931522
11,9,2250,72,1,0,20250,0.1232876712328767,7.719129840906732
11,5,1250,41,0,0,6250,0.11904761904761904,7.1316985104669115
15,16,4000,82,0,1,64000,0.1927710843373494,8.294299608857235
9,5,1250,51,1,0,6250,0.09615384615384616,7.1316985104669115
11,4,1000,34,0,0,4000,0.11428571428571428,6.90875477931522
14,8,2000,50,1,0,16000,0.1568627450980392,7.601402334583733
16,7,1750,38,0,1,12250,0.1794871794871795,7.467942332285852
14,2,500,16,0,0,1000,0.11764705882352941,6.2166061010848646
2,2,500,41,0,0,1000,0.047619047619047616,6.2166061010848646
14,16,4000,98,0,0,64000,0.16161616161616163,8.294299608857235
14,4,1000,28,1,0,4000,0.13793103448275862,6.90875477931522
16,7,1750,39,0,1,12250,0.175,7.467942332285852
14,7,1750,47,0,0,12250,0.14583333333333334,7.467942332285852
16,6,1500,35,0,1,9000,0.16666666666666666,7.313886831633462
16,6,1500,35,1,1,9000,0.16666666666666666,7.313886831633462
11,7,1750,62,1,0,12250,0.1111111111111111,7.467942332285852
16,2,500,16,0,1,1000,0.11764705882352941,6.2166061010848646
16,3,750,21,1,1,2250,0.13636363636363635,6.621405651764134
11,3,750,28,0,0,2250,0.10344827586206896,6.621405651764134
11,7,1750,64,0,0,12250,0.1076923076923077,7.467942332285852
11,1,250,11,1,0,250,0.08333333333333333,5.5254529391317835
9,3,750,34,0,0,2250,0.08571428571428572,6.621405651764134
14,4,1000,30,0,0,4000,0.12903225806451613,6.90875477931522
23,38,9500,98,0,1,361000,0.3838383838383838,9.15915233520675
11,6,1500,58,0,0,9000,0.1016949152542373,7.313886831633462
11,1,250,11,0,0,250,0.08333333333333333,5.5254529391317835
11,1,250,11,0,0,250,0.08333333333333333,5.5254529391317835
11,1,250,11,0,0,250,0.08333333333333333,5.5254529391317835
11,1,250,11,0,0,250,0.08333333333333333,5.5254529391317835
11,1,250,11,0,0,250,0.08333333333333333,5.5254529391317835
11,1,250,11,0,0,250,0.08333333333333333,5.5254529391317835
11,1,250,11,0,0,250,0.08333333333333333,5.5254529391317835
11,1,250,11,0,0,250,0.08333333333333333,5.5254529391317835
11,2,500,21,0,0,1000,0.09090909090909091,6.2166061010848646
11,5,1250,50,0,0,6250,0.09803921568627451,7.1316985104669115
11,2,500,21,0,0,1000,0.09090909090909091,6.2166061010848646
16,4,1000,28,0,1,4000,0.13793103448275862,6.90875477931522
4,2,500,41,0,0,1000,0.047619047619047616,6.2166061010848646
16,6,1500,40,0,1,9000,0.14634146341463414,7.313886831633462
14,3,750,26,0,0,2250,0.1111111111111111,6.621405651764134
9,2,500,26,0,0,1000,0.07407407407407407,6.2166061010848646
21,16,4000,64,0,1,64000,0.24615384615384617,8.294299608857235
14,6,1500,51,0,0,9000,0.11538461538461539,7.313886831633462
11,2,500,24,0,0,1000,0.08,6.2166061010848646
4,3,750,71,0,0,2250,0.041666666666666664,6.621405651764134
21,13,3250,57,0,1,42250,0.22413793103448276,8.086717920303906
11,6,1500,71,0,0,9000,0.08333333333333333,7.313886831633462
14,2,500,21,1,0,1000,0.09090909090909091,6.2166061010848646
23,15,3750,57,0,1,56250,0.25862068965517243,8.229777750081887
14,4,1000,38,0,0,4000,0.10256410256410256,6.90875477931522
11,2,500,26,0,0,1000,0.07407407407407407,6.2166061010848646
16,5,1250,40,1,1,6250,0.12195121951219512,7.1316985104669115
4,2,500,51,1,0,1000,0.038461538461538464,6.2166061010848646
14,3,750,31,0,0,2250,0.09375,6.621405651764134
4,2,500,52,0,0,1000,0.03773584905660377,6.2166061010848646
9,4,1000,65,0,0,4000,0.06060606060606061,6.90875477931522
14,4,1000,40,0,0,4000,0.0975609756097561,6.90875477931522
11,3,750,40,1,0,2250,0.07317073170731707,6.621405651764134
14,5,1250,50,0,0,6250,0.09803921568627451,7.1316985104669115
14,1,250,14,0,0,250,0.06666666666666667,5.5254529391317835
